Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
Old Town Road,USSM11901941,53CJANUxooaqGOtdsBTh7O,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,886447622827,63nQw5QNKBUAh4bvqSz3rJ,2019-03-13,Lil Nas X,Australia,2,viral,daily,1,2019-03-15,1,0,2019-03-16,"1, 1",https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O,https://open.spotify.com/album/63nQw5QNKBUAh4bvqSz3rJ,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq
11 Minutes (with Halsey feat. Travis Barker),USUG11800795,4mGdjNMo0RonTlOEb7cYg4,"YUNGBLUD, Halsey, Travis Barker","6Ad91Jof8Niiw0lGLLi3NW, 26VFTg2z8YR0cCuwLzESi2, 4exLIFE8sISLr28sqG1qNX",11 Minutes (with Halsey feat. Travis Barker),602577440595,7jY0r3cjoRY6M3IqRb1m7H,2019-02-13,"Locomotion Recordings, Geffen Records",Australia,7,viral,daily,2,2019-03-15,2,0,2019-03-16,"3, 3, 3, 3, 3, 2, 2",https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4,https://open.spotify.com/album/7jY0r3cjoRY6M3IqRb1m7H,https://open.spotify.com/artist/6Ad91Jof8Niiw0lGLLi3NW
Murder On My Mind,QMCE31801827,7eBqSVxrzQZtK2mmgRG6lC,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,I AM YOU,814908026372,7naY6j4wcgUxfHB98G79CW,2018-08-02,,Australia,32,viral,daily,1,2019-03-01,3,0,2019-03-16,"42, 17, 11, 7, 6, 4, 4, 3, 3, 3, 3, 3, 3, 3, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3",https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,https://open.spotify.com/album/7naY6j4wcgUxfHB98G79CW,https://open.spotify.com/artist/1cNDP5yjU5vjeR8qMf4grg
Brown Town Song,QZDA61927788,0n7zjTSJOraGmjXfzTX6NL,Jarrad Wright,6zuuEDpjycpfZtmGgDhRtM,The Big Lez Show Soundtrack,193829516880,1S3p4gE0ItGRNqc07vDxPa,2019-02-11,Records DK,Australia,7,viral,daily,4,2019-03-15,4,0,2019-03-16,"6, 7, 5, 5, 5, 4, 4",https://open.spotify.com/track/0n7zjTSJOraGmjXfzTX6NL,https://open.spotify.com/album/1S3p4gE0ItGRNqc07vDxPa,https://open.spotify.com/artist/6zuuEDpjycpfZtmGgDhRtM
"Thotiana (feat. Cardi B, YG) [Remix]",USKO11900097,1JkrD47SDpAbyvqKtolcea,"Blueface, Cardi B, YG","3Fl1V19tmjt57oBdxXKAjJ, 4kYSro6naA4h99UJvo89HB, 0A0FS04o6zMoto8OKPsDwY","Thotiana (feat. Cardi B, YG) [Remix]",634164173920,5DjuLFcOMVFgqG972w6fgp,2019-02-17,"Fifth Amendment Entertainment, eOne Music",Australia,7,viral,daily,4,2019-03-10,5,0,2019-03-16,"4, 4, 4, 4, 4, 5, 5",https://open.spotify.com/track/1JkrD47SDpAbyvqKtolcea,https://open.spotify.com/album/5DjuLFcOMVFgqG972w6fgp,https://open.spotify.com/artist/3Fl1V19tmjt57oBdxXKAjJ
Don't Call Me Up,GBUM71808052,5WHTFyqSii0lmT9R21abT8,Mabel,1MIVXf74SZHmTIp4V4paH4,Ivy To Roses (Mixtape),602577411656,0syM7OUAhV7S6XmOa4nLUZ,2019-01-17,Polydor Records,Australia,35,viral,daily,2,2019-02-12,6,1,2019-03-16,"7, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 5, 5, 5, 6, 6, 7, 6, 7, 8, 8, 7, 6",https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,https://open.spotify.com/album/0syM7OUAhV7S6XmOa4nLUZ,https://open.spotify.com/artist/1MIVXf74SZHmTIp4V4paH4
Woke Up Late (feat. Hailee Steinfeld),QMCE31801829,3qLBz3j26AHO2jBYUQWLA6,"Drax Project, Hailee Steinfeld","6S0IvKlvPMX1RtAYtVpUV8, 5p7f24Rk5HkUZsaS3BLG5F",Woke Up Late (feat. Hailee Steinfeld),814908026082,4orebNTJrv5qLKVBOunr1N,2019-01-20,300 Entertainment,Australia,31,viral,daily,4,2019-03-09,7,-1,2019-03-16,"46, 43, 39, 38, 30, 26, 18, 18, 16, 14, 15, 14, 16, 16, 16, 15, 14, 14, 11, 9, 7, 7, 5, 4, 5, 5, 6, 6, 6, 6, 7",https://open.spotify.com/track/3qLBz3j26AHO2jBYUQWLA6,https://open.spotify.com/album/4orebNTJrv5qLKVBOunr1N,https://open.spotify.com/artist/6S0IvKlvPMX1RtAYtVpUV8
Dissolve,USAT21704522,7pBrj5rt4SSxXwFKOyZfHR,Absofacto,7gAYvcQFmAruyvwGjxrSUr,Thousand Peaces,075679886712,79mdn7airf7jJw1dhV1PCI,2017-11-02,Absofacto,Australia,11,viral,daily,8,2019-03-16,8,1,2019-03-16,"25, 25, 25, 27, 27, 21, 20, 16, 12, 9, 8",https://open.spotify.com/track/7pBrj5rt4SSxXwFKOyZfHR,https://open.spotify.com/album/79mdn7airf7jJw1dhV1PCI,https://open.spotify.com/artist/7gAYvcQFmAruyvwGjxrSUr
TWIT,KRA381900397,6qyz1KOlGJsKYJ4ZsRmRSD,Hwa Sa,7bmYpVgQub656uNTu6qGNQ,TWIT,8804775099342,6KL4s0Y6Ijcj0QP1Nm1EVF,2019-02-12,"RBW, Inc",Australia,7,viral,daily,8,2019-03-15,9,-1,2019-03-16,"25, 26, 24, 19, 11, 8, 9",https://open.spotify.com/track/6qyz1KOlGJsKYJ4ZsRmRSD,https://open.spotify.com/album/6KL4s0Y6Ijcj0QP1Nm1EVF,https://open.spotify.com/artist/7bmYpVgQub656uNTu6qGNQ
Wannabe,TCADF1785646,6SQZ3rR7kNord3KYrom49J,why mona,5C1tex8vm00yFKTitiOnMU,Wannabe,193036756376,5ANR2zRWoxW225Sh0qBccw,2017-08-24,Lowly Palace,Australia,19,viral,daily,6,2019-03-02,10,0,2019-03-16,"8, 8, 7, 7, 6, 8, 8, 7, 9, 9, 8, 10, 14, 8, 8, 7, 7, 10, 10",https://open.spotify.com/track/6SQZ3rR7kNord3KYrom49J,https://open.spotify.com/album/5ANR2zRWoxW225Sh0qBccw,https://open.spotify.com/artist/5C1tex8vm00yFKTitiOnMU
