Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
Old Town Road,USSM11901941,53CJANUxooaqGOtdsBTh7O,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,886447622827,63nQw5QNKBUAh4bvqSz3rJ,2019-03-13,Lil Nas X,Canada,2,viral,daily,1,2019-03-15,1,0,2019-03-16,"1, 1",https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O,https://open.spotify.com/album/63nQw5QNKBUAh4bvqSz3rJ,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq
Boasty (feat. Idris Elba),GB5KW1900082,7cz506PyIgh2bMN90Mc8Tn,"Wiley, Stefflon Don, Sean Paul, Idris Elba","7k9T7lZlHjRAM1bb0r9Rm3, 2ExGrw6XpbtUAJHTLtUXUD, 3Isy6kedDrgPYoTS1dazA9, 0Dc2rdPzleezxhvQhQbXuS",Boasty (feat. Idris Elba),4050538472097,7JoyVaXzxpgTPjkgB8mWk3,2019-01-21,BMG Rights Management (UK),Canada,28,viral,daily,2,2019-03-10,2,0,2019-03-16,"19, 19, 19, 20, 21, 23, 22, 49, 37, 21, 16, 9, 8, 7, 7, 7, 9, 8, 8, 4, 3, 2, 2, 2, 2, 2, 2, 2",https://open.spotify.com/track/7cz506PyIgh2bMN90Mc8Tn,https://open.spotify.com/album/7JoyVaXzxpgTPjkgB8mWk3,https://open.spotify.com/artist/7k9T7lZlHjRAM1bb0r9Rm3
Wannabe,TCADF1785646,6SQZ3rR7kNord3KYrom49J,why mona,5C1tex8vm00yFKTitiOnMU,Wannabe,193036756376,5ANR2zRWoxW225Sh0qBccw,2017-08-24,Lowly Palace,Canada,22,viral,daily,3,2019-03-12,3,0,2019-03-16,"10, 9, 9, 8, 10, 8, 9, 9, 6, 5, 5, 5, 5, 6, 7, 5, 4, 3, 3, 3, 3, 3",https://open.spotify.com/track/6SQZ3rR7kNord3KYrom49J,https://open.spotify.com/album/5ANR2zRWoxW225Sh0qBccw,https://open.spotify.com/artist/5C1tex8vm00yFKTitiOnMU
Con Calma,US2BU1900125,5w9c2J52mkdntKOmRLeM2m,"Daddy Yankee, Snow","4VMYDCV2IEDYJArk749S6m, 3uZFBSsMiooimnprFL9jD1",Con Calma,602577433320,1otwHKoQ5KPaiekpYk4tWh,2019-01-23,El Cartel Records (EC3),Canada,28,viral,daily,2,2019-02-26,4,0,2019-03-16,"9, 9, 9, 9, 9, 7, 7, 4, 3, 2, 2, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 4, 5, 4, 4, 4, 4, 4",https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,https://open.spotify.com/album/1otwHKoQ5KPaiekpYk4tWh,https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m
Murder On My Mind,QMCE31801827,7eBqSVxrzQZtK2mmgRG6lC,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,I AM YOU,814908026372,7naY6j4wcgUxfHB98G79CW,2018-08-02,,Canada,66,viral,daily,1,2019-02-25,5,0,2019-03-16,"46, 46, 46, 44, 41, 30, 34, 28, 24, 20, 20, 19, 20, 28, 30, 34, 34, 32, 29, 32, 27, 16, 17, 16, 19, 20, 19, 31, 27, 27, 35, 32, 33, 41, 32, 12, 8, 6, 6, 5, 3, 3, 3, 3, 3, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 5, 5, 5, 5, 5",https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,https://open.spotify.com/album/7naY6j4wcgUxfHB98G79CW,https://open.spotify.com/artist/1cNDP5yjU5vjeR8qMf4grg
11 Minutes (with Halsey feat. Travis Barker),USUG11800795,4mGdjNMo0RonTlOEb7cYg4,"YUNGBLUD, Halsey, Travis Barker","6Ad91Jof8Niiw0lGLLi3NW, 26VFTg2z8YR0cCuwLzESi2, 4exLIFE8sISLr28sqG1qNX",11 Minutes (with Halsey feat. Travis Barker),602577440595,7jY0r3cjoRY6M3IqRb1m7H,2019-02-13,"Locomotion Recordings, Geffen Records",Canada,7,viral,daily,6,2019-03-10,6,0,2019-03-16,"6, 6, 6, 7, 7, 6, 6",https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4,https://open.spotify.com/album/7jY0r3cjoRY6M3IqRb1m7H,https://open.spotify.com/artist/6Ad91Jof8Niiw0lGLLi3NW
Undrunk,USUG11900006,5SHhPFh68OhUmuRPymKX9d,FLETCHER,5qa31A9HySw3T7MKWI9bGg,Undrunk,602577370403,5Skgz8BwS0Lfw2zlQSy1EB,2019-01-24,Capitol Records,Canada,22,viral,daily,6,2019-03-14,7,0,2019-03-16,"36, 44, 40, 25, 22, 18, 17, 17, 17, 16, 17, 17, 18, 15, 15, 15, 15, 10, 8, 6, 7, 7",https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d,https://open.spotify.com/album/5Skgz8BwS0Lfw2zlQSy1EB,https://open.spotify.com/artist/5qa31A9HySw3T7MKWI9bGg
Mixed Personalities (feat. Kanye West),QMCE31902201,6vWEAOUSxohKxhp0K1BsxL,"YNW Melly, Kanye West","1cNDP5yjU5vjeR8qMf4grg, 5K4W6rqBFWDnAN6FQUkS6x",We All Shine,814908027393,09b9NC1oQbYaHcacgXn66k,2019-01-17,,Canada,35,viral,daily,8,2019-03-16,8,1,2019-03-16,"17, 18, 18, 16, 15, 13, 13, 12, 10, 10, 10, 11, 12, 13, 12, 12, 12, 13, 15, 15, 16, 15, 15, 13, 10, 10, 9, 9, 14, 16, 15, 15, 12, 9, 8",https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL,https://open.spotify.com/album/09b9NC1oQbYaHcacgXn66k,https://open.spotify.com/artist/1cNDP5yjU5vjeR8qMf4grg
TWIT,KRA381900397,6qyz1KOlGJsKYJ4ZsRmRSD,Hwa Sa,7bmYpVgQub656uNTu6qGNQ,TWIT,8804775099342,6KL4s0Y6Ijcj0QP1Nm1EVF,2019-02-12,"RBW, Inc",Canada,7,viral,daily,9,2019-03-16,9,2,2019-03-16,"19, 13, 14, 12, 10, 11, 9",https://open.spotify.com/track/6qyz1KOlGJsKYJ4ZsRmRSD,https://open.spotify.com/album/6KL4s0Y6Ijcj0QP1Nm1EVF,https://open.spotify.com/artist/7bmYpVgQub656uNTu6qGNQ
Pure Water (with Migos),USUM71823137,63cd4JkwGgYJrbOizbfmsp,"Mustard, Migos","0YinUQ50QDB7ZxSCLyQ40k, 6oMuImdp5ZcFhWP0ESe6mG",Pure Water (with Migos),602577377846,1ypNy6o0C2ZbuuPPYkavVl,2019-01-15,"10 Summers, Interscope PS",Canada,35,viral,daily,2,2019-02-10,10,0,2019-03-16,"2, 3, 3, 3, 3, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 6, 6, 7, 6, 6, 5, 5, 6, 6, 6, 6, 8, 8, 9, 10, 8, 9, 9, 10, 10",https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,https://open.spotify.com/album/1ypNy6o0C2ZbuuPPYkavVl,https://open.spotify.com/artist/0YinUQ50QDB7ZxSCLyQ40k
Bust Down Thotiana,AUXN21905219,4IrdTItUDGxT4zOnRkKclN,DJ Buss,6JStG0EmqWCLG8vUgvQ6Ha,Bust Down Thotiana,9351384501135,25Poy2lXAW2cSuwFdcN2SE,2019-01-30,uSS Musik,Canada,10,viral,daily,6,2019-03-13,11,-3,2019-03-16,"13, 13, 12, 12, 8, 7, 6, 8, 8, 11",https://open.spotify.com/track/4IrdTItUDGxT4zOnRkKclN,https://open.spotify.com/album/25Poy2lXAW2cSuwFdcN2SE,https://open.spotify.com/artist/6JStG0EmqWCLG8vUgvQ6Ha
Pop Out (feat. Lil TJay),USQX91900309,5AjINjwKyRvQJhSe2zpPHi,"Polo G, Lil Tjay","6AgTAQt8XS6jRWi4sX7w49, 6jGMq4yGs7aQzuGsMgVgZR",Pop Out (feat. Lil TJay),886447536087,2QZIT7e4W9ZFQ716TSxRI3,2019-01-31,Columbia,Canada,21,viral,daily,8,2019-03-04,12,0,2019-03-16,"10, 11, 11, 9, 13, 12, 11, 11, 8, 8, 9, 9, 10, 10, 10, 14, 12, 10, 11, 12, 12",https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi,https://open.spotify.com/album/2QZIT7e4W9ZFQ716TSxRI3,https://open.spotify.com/artist/6AgTAQt8XS6jRWi4sX7w49
Worth It,USUM71821752,4XiGKQqbmnMVxDzUj6j3f2,YK Osiris,7meyrw7Or5DwteYxDJrkCM,Worth It,602577381607,6xxdRevqix78TFbWJpO2AO,2019-01-24,Def Jam Recordings,Canada,14,viral,daily,11,2019-03-09,13,0,2019-03-16,"19, 17, 16, 16, 16, 14, 11, 11, 12, 16, 13, 14, 13, 13",https://open.spotify.com/track/4XiGKQqbmnMVxDzUj6j3f2,https://open.spotify.com/album/6xxdRevqix78TFbWJpO2AO,https://open.spotify.com/artist/7meyrw7Or5DwteYxDJrkCM
Don't Call Me Up,GBUM71808052,5WHTFyqSii0lmT9R21abT8,Mabel,1MIVXf74SZHmTIp4V4paH4,Ivy To Roses (Mixtape),602577411656,0syM7OUAhV7S6XmOa4nLUZ,2019-01-17,Polydor Records,Canada,35,viral,daily,2,2019-02-11,14,2,2019-03-16,"3, 2, 2, 2, 2, 3, 4, 4, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 7, 9, 11, 16, 16, 16, 14",https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,https://open.spotify.com/album/0syM7OUAhV7S6XmOa4nLUZ,https://open.spotify.com/artist/1MIVXf74SZHmTIp4V4paH4
Shotta Flow,QZ85M1903991,4dAMdQ6g4kGmnc1MDHsg77,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Shotta Flow,191998138551,4O6AXVdjqdJiGYlEm7fz0o,2019-01-16,No Love Entertainment,Canada,35,viral,daily,2,2019-02-17,15,-1,2019-03-16,"6, 6, 5, 4, 4, 4, 3, 2, 2, 2, 2, 2, 2, 2, 3, 4, 4, 6, 7, 7, 8, 8, 9, 7, 7, 7, 7, 6, 8, 7, 9, 11, 13, 14, 15",https://open.spotify.com/track/4dAMdQ6g4kGmnc1MDHsg77,https://open.spotify.com/album/4O6AXVdjqdJiGYlEm7fz0o,https://open.spotify.com/artist/0ErzCpIMyLcjPiwT4elrtZ
Pa Mí - Remix,QM9WM1900002,224EVTFiLsdQignUFLvDeH,"Dalex, Rafa Pabön, Khea, Sech, Cazzu, Feid, Lenny Tavárez","0KPX4Ucy9dk82uj4GpKesn, 11YLRSsZA3YVuQQtHXKTlz, 4m6ubhNsdwF4psNf3R8kwR, 77ziqFxp5gaInVrF2lj4ht, 6w3SkAHYPsQ1bxV7VDlG5y, 2LRoIwlKmHjgvigdNGBHNo, 1pQWsZQehhS4wavwh7Fnxd",Pa Mí (Remix),858167007932,4OyP4eAtpTHXjpVBjJvPNG,2019-02-06,Rich Music,Canada,14,viral,daily,15,2019-03-15,16,-1,2019-03-16,"30, 44, 45, 31, 30, 24, 19, 20, 20, 19, 18, 17, 15, 16",https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH,https://open.spotify.com/album/4OyP4eAtpTHXjpVBjJvPNG,https://open.spotify.com/artist/0KPX4Ucy9dk82uj4GpKesn
Woke Up Late (feat. Hailee Steinfeld),QMCE31801829,3qLBz3j26AHO2jBYUQWLA6,"Drax Project, Hailee Steinfeld","6S0IvKlvPMX1RtAYtVpUV8, 5p7f24Rk5HkUZsaS3BLG5F",Woke Up Late (feat. Hailee Steinfeld),814908026082,4orebNTJrv5qLKVBOunr1N,2019-01-20,300 Entertainment,Canada,35,viral,daily,10,2019-03-05,17,2,2019-03-16,"41, 41, 41, 34, 39, 42, 36, 41, 37, 36, 46, 40, 26, 26, 17, 16, 14, 14, 14, 14, 12, 12, 11, 10, 11, 11, 11, 13, 17, 17, 18, 20, 19, 19, 17",https://open.spotify.com/track/3qLBz3j26AHO2jBYUQWLA6,https://open.spotify.com/album/4orebNTJrv5qLKVBOunr1N,https://open.spotify.com/artist/6S0IvKlvPMX1RtAYtVpUV8
Rebota,QM7281862575,2YRvdf9cdS88y1wB1WhKoE,Guaynaa,0BqURncJM5B1BBu7UM51eq,Rebota,193483285214,0WtvTluO0QSmXndhOydGDA,2018-12-13,Handy Music,Canada,4,viral,daily,18,2019-03-16,18,2,2019-03-16,"33, 26, 20, 18",https://open.spotify.com/track/2YRvdf9cdS88y1wB1WhKoE,https://open.spotify.com/album/0WtvTluO0QSmXndhOydGDA,https://open.spotify.com/artist/0BqURncJM5B1BBu7UM51eq
Please Me,USAT21811659,0PG9fbaaHFHfre2gUVo7AN,"Cardi B, Bruno Mars","4kYSro6naA4h99UJvo89HB, 0du5cEVh5yTK9QJze8zA0C",Please Me,075679853653,5a4sJJ3qjn6hqRsvm0Veso,2019-02-14,"Atlantic, KSR",Canada,7,viral,daily,11,2019-03-11,19,-2,2019-03-16,"13, 11, 13, 14, 15, 17, 19",https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,https://open.spotify.com/album/5a4sJJ3qjn6hqRsvm0Veso,https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB
Dissolve,USAT21704522,7pBrj5rt4SSxXwFKOyZfHR,Absofacto,7gAYvcQFmAruyvwGjxrSUr,Thousand Peaces,075679886712,79mdn7airf7jJw1dhV1PCI,2017-11-02,Absofacto,Canada,19,viral,daily,18,2019-03-15,20,-2,2019-03-16,"46, 41, 35, 29, 30, 35, 32, 33, 33, 34, 35, 30, 29, 23, 23, 19, 20, 18, 20",https://open.spotify.com/track/7pBrj5rt4SSxXwFKOyZfHR,https://open.spotify.com/album/79mdn7airf7jJw1dhV1PCI,https://open.spotify.com/artist/7gAYvcQFmAruyvwGjxrSUr
MIDDLE CHILD,QMJMT1902056,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,810760037709,3XzSOIE6zGLliuqsVGLmUc,2019-01-22,Dreamville,Canada,28,viral,daily,4,2019-02-18,21,0,2019-03-16,"5, 4, 5, 5, 4, 4, 4, 8, 7, 7, 8, 10, 10, 10, 14, 14, 15, 14, 14, 16, 16, 18, 19, 17, 17, 18, 21, 21",https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,https://open.spotify.com/album/3XzSOIE6zGLliuqsVGLmUc,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5
Swervin (feat. 6ix9ine),USAT21812918,1wJRveJZLSb1rjhnUHQiv6,"A Boogie Wit da Hoodie, 6ix9ine","31W5EY0aAly4Qieq6OFu6I, 7gZfnEnfiaHzxARJ2LeXrf",Hoodie SZN,075679857262,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-20,"Highbridge the Label, Atlantic Records",Canada,61,viral,daily,21,2019-01-26,22,0,2019-03-16,"34, 33, 32, 39, 38, 30, 31, 31, 32, 27, 25, 21, 40, 39, 39, 28, 31, 26, 23, 26, 25, 23, 23, 25, 25, 22, 32, 32, 33, 36, 34, 30, 30, 35, 32, 30, 29, 27, 25, 25, 29, 27, 28, 27, 27, 28, 28, 36, 30, 30, 28, 27, 23, 23, 25, 26, 24, 26, 22, 22, 22",https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,https://open.spotify.com/album/3r5hf3Cj3EMh1C2saQ8jyt,https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I
Act Up,USUG11802247,4eIT2gZ0WZyJpgfmoD6saJ,City Girls,37hAfseJWi0G3Scife12Il,Girl Code,602577328282,45TU0GIOO5AxFoiOPk08i1,2018-11-15,"Quality Control Music, Motown Records, Capitol Records",Canada,22,viral,daily,21,2019-03-08,23,1,2019-03-16,"47, 41, 44, 45, 43, 49, 46, 45, 34, 29, 28, 27, 22, 21, 21, 23, 21, 25, 23, 23, 24, 23",https://open.spotify.com/track/4eIT2gZ0WZyJpgfmoD6saJ,https://open.spotify.com/album/45TU0GIOO5AxFoiOPk08i1,https://open.spotify.com/artist/37hAfseJWi0G3Scife12Il
I Don’t Even Know You Anymore (feat. Bazzi & Lil Wayne),USUG11900322,5pzeevBDvU6GVXqUKoiYDX,"Netsky, Bazzi, Lil Wayne","5TgQ66WuWkoQ2xYxaSTnVP, 4GvEc3ANtPPjt1ZJllr5Zl, 55Aa2cqylxrFIXC767Z865",I Don’t Even Know You Anymore,602577484056,7vpee3EK774748ieWc7E76,2019-02-13,Republic Records,Canada,7,viral,daily,20,2019-03-12,24,-1,2019-03-16,"22, 22, 20, 22, 21, 23, 24",https://open.spotify.com/track/5pzeevBDvU6GVXqUKoiYDX,https://open.spotify.com/album/7vpee3EK774748ieWc7E76,https://open.spotify.com/artist/5TgQ66WuWkoQ2xYxaSTnVP
Mushroom Chocolate (with 6LACK),USUM71818322,41v7qDGXurEGgkMQWOk7hP,"QUIN, 6LACK","3FUTjnbCr8f7Bcid267Ryy, 4IVAbR2w4JJNJDDRFP3E83",Mushroom Chocolate (with 6LACK),602577472053,6wZXigN6FZl5FZUQxvGCTE,2019-02-11,Interscope Records,Canada,7,viral,daily,24,2019-03-13,25,2,2019-03-16,"28, 30, 37, 24, 30, 27, 25",https://open.spotify.com/track/41v7qDGXurEGgkMQWOk7hP,https://open.spotify.com/album/6wZXigN6FZl5FZUQxvGCTE,https://open.spotify.com/artist/3FUTjnbCr8f7Bcid267Ryy
Never Go Back,USQX91803643,2QrXzOqLCVDRZHkToA0tSR,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Never Go Back,886447498996,5EqITahBSjWcU71mbhFPEf,2019-02-14,Arista Records,Canada,7,viral,daily,16,2019-03-10,26,0,2019-03-16,"16, 18, 21, 25, 25, 26, 26",https://open.spotify.com/track/2QrXzOqLCVDRZHkToA0tSR,https://open.spotify.com/album/5EqITahBSjWcU71mbhFPEf,https://open.spotify.com/artist/3EOEK57CV77D4ovYVcmiyt
Faucet Failure,USUM71820924,1ThmUihH9dF8EV08ku5AXN,Ski Mask the Slump God,2rhFzFmezpnW82MNqEKVry,STOKELEY,602577359866,0z0z4DcXhHiobX5ZKAw8Qn,2018-11-29,Republic Records,Canada,62,viral,daily,8,2019-02-01,27,1,2019-03-16,"46, 39, 42, 49, 50, 46, 38, 33, 32, 28, 30, 26, 28, 37, 43, 43, 15, 12, 8, 8, 11, 11, 12, 11, 11, 11, 13, 21, 22, 25, 26, 26, 28, 28, 39, 36, 33, 36, 35, 37, 35, 43, 44, 39, 40, 38, 37, 39, 46, 41, 43, 48, 47, 45, 41, 45, 40, 40, 34, 31, 28, 27",https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN,https://open.spotify.com/album/0z0z4DcXhHiobX5ZKAw8Qn,https://open.spotify.com/artist/2rhFzFmezpnW82MNqEKVry
"break up with your girlfriend, i'm bored",USUM71900409,4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",602577490385,2fYhqwDWXjbpjaIJPEfKFw,2019-02-07,Republic Records,Canada,14,viral,daily,10,2019-03-03,28,2,2019-03-16,"10, 12, 11, 12, 12, 12, 14, 24, 25, 26, 28, 27, 30, 28",https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,https://open.spotify.com/album/2fYhqwDWXjbpjaIJPEfKFw,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
