Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
Old Town Road,USSM11901941,53CJANUxooaqGOtdsBTh7O,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,886447622827,63nQw5QNKBUAh4bvqSz3rJ,2019-03-13,Lil Nas X,Global,2,viral,daily,1,2019-03-15,1,0,2019-03-16,"1, 1",https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O,https://open.spotify.com/album/63nQw5QNKBUAh4bvqSz3rJ,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq
Pa Mí - Remix,QM9WM1900002,224EVTFiLsdQignUFLvDeH,"Dalex, Rafa Pabön, Khea, Sech, Cazzu, Feid, Lenny Tavárez","0KPX4Ucy9dk82uj4GpKesn, 11YLRSsZA3YVuQQtHXKTlz, 4m6ubhNsdwF4psNf3R8kwR, 77ziqFxp5gaInVrF2lj4ht, 6w3SkAHYPsQ1bxV7VDlG5y, 2LRoIwlKmHjgvigdNGBHNo, 1pQWsZQehhS4wavwh7Fnxd",Pa Mí (Remix),858167007932,4OyP4eAtpTHXjpVBjJvPNG,2019-02-06,Rich Music,Global,14,viral,daily,2,2019-03-14,2,0,2019-03-16,"8, 8, 7, 7, 7, 7, 6, 6, 5, 5, 4, 2, 2, 2",https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH,https://open.spotify.com/album/4OyP4eAtpTHXjpVBjJvPNG,https://open.spotify.com/artist/0KPX4Ucy9dk82uj4GpKesn
Con Calma,US2BU1900125,5w9c2J52mkdntKOmRLeM2m,"Daddy Yankee, Snow","4VMYDCV2IEDYJArk749S6m, 3uZFBSsMiooimnprFL9jD1",Con Calma,602577433320,1otwHKoQ5KPaiekpYk4tWh,2019-01-23,El Cartel Records (EC3),Global,28,viral,daily,1,2019-02-24,3,0,2019-03-16,"7, 6, 6, 5, 4, 3, 2, 1, 1, 1, 1, 2, 2, 3, 2, 2, 2, 3, 4, 4, 3, 3, 3, 3, 2, 3, 3, 3",https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,https://open.spotify.com/album/1otwHKoQ5KPaiekpYk4tWh,https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m
Contando Lunares (feat. Cruz Cafuné),USCGH1926856,6Cs7b9bu3fy5XhMwBA9Tz4,"Don Patricio, Cruz Cafuné","6vPXtLmNd3mW0dd1Rb9eQ9, 0jeYkqwckGJoHQhhXwgzk3",La Dura Vida del Joven Rapero,193428573765,0Gx6K4nFJlqmBXIRgoKLBb,2019-01-26,Don Patricio,Global,28,viral,daily,2,2019-02-24,4,0,2019-03-16,"12, 12, 14, 10, 7, 6, 5, 2, 2, 2, 2, 3, 3, 2, 3, 3, 3, 2, 3, 3, 2, 2, 2, 2, 3, 4, 4, 4",https://open.spotify.com/track/6Cs7b9bu3fy5XhMwBA9Tz4,https://open.spotify.com/album/0Gx6K4nFJlqmBXIRgoKLBb,https://open.spotify.com/artist/6vPXtLmNd3mW0dd1Rb9eQ9
Rebota,QM7281862575,2YRvdf9cdS88y1wB1WhKoE,Guaynaa,0BqURncJM5B1BBu7UM51eq,Rebota,193483285214,0WtvTluO0QSmXndhOydGDA,2018-12-13,Handy Music,Global,28,viral,daily,4,2019-02-27,5,0,2019-03-16,"15, 13, 15, 13, 8, 7, 6, 8, 7, 5, 4, 5, 5, 5, 4, 4, 4, 4, 5, 5, 5, 4, 4, 4, 5, 5, 5, 5",https://open.spotify.com/track/2YRvdf9cdS88y1wB1WhKoE,https://open.spotify.com/album/0WtvTluO0QSmXndhOydGDA,https://open.spotify.com/artist/0BqURncJM5B1BBu7UM51eq
Undrunk,USUG11900006,5SHhPFh68OhUmuRPymKX9d,FLETCHER,5qa31A9HySw3T7MKWI9bGg,Undrunk,602577370403,5Skgz8BwS0Lfw2zlQSy1EB,2019-01-24,Capitol Records,Global,27,viral,daily,6,2019-03-15,6,0,2019-03-16,"44, 44, 43, 41, 39, 36, 27, 27, 24, 22, 22, 22, 21, 17, 18, 16, 16, 16, 16, 14, 15, 13, 12, 9, 8, 6, 6",https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d,https://open.spotify.com/album/5Skgz8BwS0Lfw2zlQSy1EB,https://open.spotify.com/artist/5qa31A9HySw3T7MKWI9bGg
Wannabe,TCADF1785646,6SQZ3rR7kNord3KYrom49J,why mona,5C1tex8vm00yFKTitiOnMU,Wannabe,193036756376,5ANR2zRWoxW225Sh0qBccw,2017-08-24,Lowly Palace,Global,26,viral,daily,4,2019-02-26,7,0,2019-03-16,"8, 7, 9, 9, 8, 7, 6, 4, 5, 6, 6, 6, 6, 5, 5, 5, 6, 6, 7, 7, 7, 7, 7, 6, 7, 7",https://open.spotify.com/track/6SQZ3rR7kNord3KYrom49J,https://open.spotify.com/album/5ANR2zRWoxW225Sh0qBccw,https://open.spotify.com/artist/5C1tex8vm00yFKTitiOnMU
Don't Call Me Up,GBUM71808052,5WHTFyqSii0lmT9R21abT8,Mabel,1MIVXf74SZHmTIp4V4paH4,Ivy To Roses (Mixtape),602577411656,0syM7OUAhV7S6XmOa4nLUZ,2019-01-17,Polydor Records,Global,35,viral,daily,2,2019-02-10,8,2,2019-03-16,"2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 3, 3, 3, 4, 4, 4, 5, 6, 6, 6, 9, 9, 10, 11, 10, 10, 11, 10, 10, 8",https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,https://open.spotify.com/album/0syM7OUAhV7S6XmOa4nLUZ,https://open.spotify.com/artist/1MIVXf74SZHmTIp4V4paH4
Spirit in the Sky,QZ4JJ1823592,7B7O5jgFpWfc9orZw6FN4K,Keiino,0chh7dlaUzEreDTulHiOlm,Spirit in the Sky,193665680295,6Ct73ig0jA8JCPWCliWTHY,2019-01-24,Hugoworld AS,Global,10,viral,daily,2,2019-03-07,9,-1,2019-03-16,"2, 2, 4, 5, 6, 6, 6, 7, 8, 9",https://open.spotify.com/track/7B7O5jgFpWfc9orZw6FN4K,https://open.spotify.com/album/6Ct73ig0jA8JCPWCliWTHY,https://open.spotify.com/artist/0chh7dlaUzEreDTulHiOlm
De Ellos Aprendí,ES71G1905886,3VaFDR5FuLjgZxJ36hV9LN,David Rees,2CQHyfluB4mliyv193Qn2L,De Ellos Aprendí,8429006353392,1U5dRqjPi81KIuANU25EwR,2019-02-05,David Rees,Global,14,viral,daily,8,2019-03-11,10,-1,2019-03-16,"9, 9, 9, 9, 10, 10, 9, 9, 8, 8, 8, 9, 9, 10",https://open.spotify.com/track/3VaFDR5FuLjgZxJ36hV9LN,https://open.spotify.com/album/1U5dRqjPi81KIuANU25EwR,https://open.spotify.com/artist/2CQHyfluB4mliyv193Qn2L
