Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
Old Town Road,USSM11901941,53CJANUxooaqGOtdsBTh7O,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,886447622827,63nQw5QNKBUAh4bvqSz3rJ,2019-03-13,Lil Nas X,Ireland,2,viral,daily,1,2019-03-15,1,0,2019-03-16,"1, 1",https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O,https://open.spotify.com/album/63nQw5QNKBUAh4bvqSz3rJ,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq
Someone You Loved,DEUM71807062,2TIlqbIneP0ZY1O0EzYLlc,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,BREACH,602577308642,0NVQ9k3wKmuK6T02lLMl6y,2018-11-07,Vertigo Berlin,Ireland,100,viral,daily,1,2019-01-23,2,0,2019-03-16,"46, 36, 37, 31, 39, 37, 30, 23, 30, 34, 38, 32, 29, 30, 34, 32, 35, 37, 41, 43, 38, 35, 29, 21, 19, 23, 25, 26, 26, 34, 33, 35, 50, 39, 41, 35, 19, 16, 14, 7, 6, 6, 4, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2",https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,https://open.spotify.com/album/0NVQ9k3wKmuK6T02lLMl6y,https://open.spotify.com/artist/4GNC7GD6oZMSxPGyXy4MNB
Don't Call Me Up,GBUM71808052,5WHTFyqSii0lmT9R21abT8,Mabel,1MIVXf74SZHmTIp4V4paH4,Ivy To Roses (Mixtape),602577411656,0syM7OUAhV7S6XmOa4nLUZ,2019-01-17,Polydor Records,Ireland,35,viral,daily,1,2019-02-10,3,0,2019-03-16,"1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 3, 3",https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,https://open.spotify.com/album/0syM7OUAhV7S6XmOa4nLUZ,https://open.spotify.com/artist/1MIVXf74SZHmTIp4V4paH4
Murder On My Mind,QMCE31801827,7eBqSVxrzQZtK2mmgRG6lC,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,I AM YOU,814908026372,7naY6j4wcgUxfHB98G79CW,2018-08-02,,Ireland,44,viral,daily,2,2019-02-24,4,0,2019-03-16,"35, 26, 32, 29, 27, 20, 20, 22, 19, 17, 16, 15, 46, 19, 14, 11, 6, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4",https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,https://open.spotify.com/album/7naY6j4wcgUxfHB98G79CW,https://open.spotify.com/artist/1cNDP5yjU5vjeR8qMf4grg
Con Calma,US2BU1900125,5w9c2J52mkdntKOmRLeM2m,"Daddy Yankee, Snow","4VMYDCV2IEDYJArk749S6m, 3uZFBSsMiooimnprFL9jD1",Con Calma,602577433320,1otwHKoQ5KPaiekpYk4tWh,2019-01-23,El Cartel Records (EC3),Ireland,28,viral,daily,5,2019-03-11,5,0,2019-03-16,"30, 30, 27, 27, 17, 14, 10, 8, 7, 7, 6, 9, 9, 14, 14, 16, 14, 13, 13, 15, 13, 6, 5, 5, 6, 6, 5, 5",https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,https://open.spotify.com/album/1otwHKoQ5KPaiekpYk4tWh,https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m
11 Minutes (with Halsey feat. Travis Barker),USUG11800795,4mGdjNMo0RonTlOEb7cYg4,"YUNGBLUD, Halsey, Travis Barker","6Ad91Jof8Niiw0lGLLi3NW, 26VFTg2z8YR0cCuwLzESi2, 4exLIFE8sISLr28sqG1qNX",11 Minutes (with Halsey feat. Travis Barker),602577440595,7jY0r3cjoRY6M3IqRb1m7H,2019-02-13,"Locomotion Recordings, Geffen Records",Ireland,7,viral,daily,6,2019-03-15,6,0,2019-03-16,"8, 7, 11, 12, 7, 6, 6",https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4,https://open.spotify.com/album/7jY0r3cjoRY6M3IqRb1m7H,https://open.spotify.com/artist/6Ad91Jof8Niiw0lGLLi3NW
i'm so tired...,GBKPL1933763,7COXchtUOMd6uIT6HvmRaI,"Lauv, Troye Sivan","5JZ7CnR6gTvEMKX4g70Amv, 3WGpXCj9YhhfX11TToZcXP",i'm so tired...,5056167111702,13yMsBNa2femeWzhcDOqFw,2019-01-23,Lauv,Ireland,28,viral,daily,4,2019-02-17,7,2,2019-03-16,"4, 5, 5, 5, 5, 7, 9, 9, 8, 8, 8, 6, 5, 7, 6, 7, 8, 7, 7, 7, 7, 11, 9, 8, 7, 9, 9, 7",https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,https://open.spotify.com/album/13yMsBNa2femeWzhcDOqFw,https://open.spotify.com/artist/5JZ7CnR6gTvEMKX4g70Amv
Juice,USAT21813044,0onslUNmSLDkuYaideYWir,Lizzo,56oDRnqbIiwx4mymNEv7dS,Juice,075679855572,11coWHUoRLfoplozmzNz0v,2019-01-03,"Nice Life, Atlantic",Ireland,49,viral,daily,4,2019-02-02,8,-1,2019-03-16,"7, 8, 7, 5, 5, 5, 4, 9, 9, 9, 10, 10, 10, 10, 7, 7, 7, 8, 8, 7, 7, 11, 11, 11, 9, 10, 5, 7, 7, 6, 6, 5, 5, 6, 5, 4, 6, 6, 8, 5, 5, 4, 5, 6, 6, 5, 8, 7, 8",https://open.spotify.com/track/0onslUNmSLDkuYaideYWir,https://open.spotify.com/album/11coWHUoRLfoplozmzNz0v,https://open.spotify.com/artist/56oDRnqbIiwx4mymNEv7dS
Hazy Shade of Winter (feat. Ray Toro),USRE11900087,1tBZnhDT8xbgJTs43FiqrD,"Gerard Way, Ray Toro","4YZ5ECfbM2xSTSQTJGBbO5, 7vtO3glDQwyFDY5cTymz4E",Hazy Shade of Winter (feat. Ray Toro),054391946263,4NBFFGWZqYd06XlBPEmgMX,2019-01-23,Reprise,Ireland,27,viral,daily,9,2019-03-16,9,1,2019-03-16,"39, 28, 16, 13, 12, 13, 12, 14, 12, 13, 17, 17, 16, 13, 14, 18, 21, 17, 21, 26, 26, 20, 14, 14, 14, 10, 9",https://open.spotify.com/track/1tBZnhDT8xbgJTs43FiqrD,https://open.spotify.com/album/4NBFFGWZqYd06XlBPEmgMX,https://open.spotify.com/artist/4YZ5ECfbM2xSTSQTJGBbO5
Piece Of Your Heart,DEUM71807719,5p1ex0pXv6jSPJ6QbumQpD,"MEDUZA, Goodboys","0xRXCcSX89eobfrshSVdyu, 2nm38smINjms1LtczR0Cei",Piece Of Your Heart,602577400704,0agqVZjOqVtqHkq3pTFPXb,2019-01-31,Virgin,Ireland,21,viral,daily,5,2019-03-14,10,-2,2019-03-16,"30, 35, 27, 25, 23, 20, 26, 28, 18, 29, 32, 38, 25, 15, 9, 12, 9, 8, 5, 8, 10",https://open.spotify.com/track/5p1ex0pXv6jSPJ6QbumQpD,https://open.spotify.com/album/0agqVZjOqVtqHkq3pTFPXb,https://open.spotify.com/artist/0xRXCcSX89eobfrshSVdyu
Pure Water (with Migos),USUM71823137,63cd4JkwGgYJrbOizbfmsp,"Mustard, Migos","0YinUQ50QDB7ZxSCLyQ40k, 6oMuImdp5ZcFhWP0ESe6mG",Pure Water (with Migos),602577377846,1ypNy6o0C2ZbuuPPYkavVl,2019-01-15,"10 Summers, Interscope PS",Ireland,35,viral,daily,8,2019-02-15,11,1,2019-03-16,"11, 11, 11, 9, 9, 8, 9, 9, 10, 10, 11, 11, 15, 17, 18, 16, 14, 14, 14, 14, 11, 15, 13, 13, 14, 14, 11, 12, 16, 21, 18, 15, 13, 12, 11",https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,https://open.spotify.com/album/1ypNy6o0C2ZbuuPPYkavVl,https://open.spotify.com/artist/0YinUQ50QDB7ZxSCLyQ40k
Giant (with Rag'n'Bone Man),GBARL1801703,5itOtNx0WxtJmi1TQ3RuRd,"Calvin Harris, RagnBone Man","7CajNmpbOovFoOoasH2HaY, 4f9iBmdUOhQWeP7dcAn1pf",Giant (with Rag'n'Bone Man),886447461051,4PwXTHenZZx7ebgsnTM65K,2019-01-10,Columbia,Ireland,42,viral,daily,3,2019-02-10,12,-1,2019-03-16,"4, 4, 4, 4, 4, 4, 4, 3, 4, 5, 5, 5, 5, 5, 8, 8, 8, 8, 6, 6, 5, 10, 9, 9, 9, 8, 7, 8, 9, 10, 9, 9, 9, 8, 8, 7, 8, 7, 10, 10, 11, 12",https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,https://open.spotify.com/album/4PwXTHenZZx7ebgsnTM65K,https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY
bury a friend,USUM71900770,4NzMOnvSJVNKF7nw5NkXIP,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bury a friend,602577437243,0lheRPWdziAtZEiww8TrUO,2019-01-29,Darkroom,Ireland,21,viral,daily,5,2019-02-24,13,0,2019-03-16,"5, 5, 5, 7, 7, 8, 6, 11, 11, 11, 11, 10, 9, 10, 12, 11, 10, 9, 12, 13, 13",https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,https://open.spotify.com/album/0lheRPWdziAtZEiww8TrUO,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
Please Me,USAT21811659,0PG9fbaaHFHfre2gUVo7AN,"Cardi B, Bruno Mars","4kYSro6naA4h99UJvo89HB, 0du5cEVh5yTK9QJze8zA0C",Please Me,075679853653,5a4sJJ3qjn6hqRsvm0Veso,2019-02-14,"Atlantic, KSR",Ireland,7,viral,daily,14,2019-03-16,14,6,2019-03-16,"18, 16, 17, 16, 19, 20, 14",https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,https://open.spotify.com/album/5a4sJJ3qjn6hqRsvm0Veso,https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB
