Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
Old Town Road,USSM11901941,53CJANUxooaqGOtdsBTh7O,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,886447622827,63nQw5QNKBUAh4bvqSz3rJ,2019-03-13,Lil Nas X,United States,2,viral,daily,1,2019-03-15,1,0,2019-03-16,"1, 1",https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O,https://open.spotify.com/album/63nQw5QNKBUAh4bvqSz3rJ,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq
Undrunk,USUG11900006,5SHhPFh68OhUmuRPymKX9d,FLETCHER,5qa31A9HySw3T7MKWI9bGg,Undrunk,602577370403,5Skgz8BwS0Lfw2zlQSy1EB,2019-01-24,Capitol Records,United States,28,viral,daily,2,2019-03-10,2,0,2019-03-16,"29, 27, 24, 26, 25, 22, 17, 22, 16, 14, 14, 9, 8, 7, 6, 5, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2",https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d,https://open.spotify.com/album/5Skgz8BwS0Lfw2zlQSy1EB,https://open.spotify.com/artist/5qa31A9HySw3T7MKWI9bGg
Rebota,QM7281862575,2YRvdf9cdS88y1wB1WhKoE,Guaynaa,0BqURncJM5B1BBu7UM51eq,Rebota,193483285214,0WtvTluO0QSmXndhOydGDA,2018-12-13,Handy Music,United States,14,viral,daily,3,2019-03-15,3,0,2019-03-16,"29, 24, 22, 17, 14, 10, 7, 4, 4, 4, 4, 4, 3, 3",https://open.spotify.com/track/2YRvdf9cdS88y1wB1WhKoE,https://open.spotify.com/album/0WtvTluO0QSmXndhOydGDA,https://open.spotify.com/artist/0BqURncJM5B1BBu7UM51eq
Wannabe,TCADF1785646,6SQZ3rR7kNord3KYrom49J,why mona,5C1tex8vm00yFKTitiOnMU,Wannabe,193036756376,5ANR2zRWoxW225Sh0qBccw,2017-08-24,Lowly Palace,United States,18,viral,daily,2,2019-03-03,4,0,2019-03-16,"4, 4, 4, 3, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4",https://open.spotify.com/track/6SQZ3rR7kNord3KYrom49J,https://open.spotify.com/album/5ANR2zRWoxW225Sh0qBccw,https://open.spotify.com/artist/5C1tex8vm00yFKTitiOnMU
Boasty (feat. Idris Elba),GB5KW1900082,7cz506PyIgh2bMN90Mc8Tn,"Wiley, Stefflon Don, Sean Paul, Idris Elba","7k9T7lZlHjRAM1bb0r9Rm3, 2ExGrw6XpbtUAJHTLtUXUD, 3Isy6kedDrgPYoTS1dazA9, 0Dc2rdPzleezxhvQhQbXuS",Boasty (feat. Idris Elba),4050538472097,7JoyVaXzxpgTPjkgB8mWk3,2019-01-21,BMG Rights Management (UK),United States,2,viral,daily,5,2019-03-15,5,0,2019-03-16,"5, 5",https://open.spotify.com/track/7cz506PyIgh2bMN90Mc8Tn,https://open.spotify.com/album/7JoyVaXzxpgTPjkgB8mWk3,https://open.spotify.com/artist/7k9T7lZlHjRAM1bb0r9Rm3
Act Up,USUG11802247,4eIT2gZ0WZyJpgfmoD6saJ,City Girls,37hAfseJWi0G3Scife12Il,Girl Code,602577328282,45TU0GIOO5AxFoiOPk08i1,2018-11-15,"Quality Control Music, Motown Records, Capitol Records",United States,27,viral,daily,5,2019-03-14,6,0,2019-03-16,"41, 32, 24, 22, 21, 23, 20, 19, 18, 21, 21, 23, 20, 18, 16, 16, 13, 12, 12, 10, 8, 8, 7, 7, 5, 6, 6",https://open.spotify.com/track/4eIT2gZ0WZyJpgfmoD6saJ,https://open.spotify.com/album/45TU0GIOO5AxFoiOPk08i1,https://open.spotify.com/artist/37hAfseJWi0G3Scife12Il
Shotta Flow,QZ85M1903991,4dAMdQ6g4kGmnc1MDHsg77,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Shotta Flow,191998138551,4O6AXVdjqdJiGYlEm7fz0o,2019-01-16,No Love Entertainment,United States,35,viral,daily,2,2019-02-10,7,0,2019-03-16,"2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 4, 4, 6, 7, 7, 6, 9, 9, 9, 5, 5, 5, 5, 6, 5, 5, 5, 6, 7, 7",https://open.spotify.com/track/4dAMdQ6g4kGmnc1MDHsg77,https://open.spotify.com/album/4O6AXVdjqdJiGYlEm7fz0o,https://open.spotify.com/artist/0ErzCpIMyLcjPiwT4elrtZ
Mixed Personalities (feat. Kanye West),QMCE31902201,6vWEAOUSxohKxhp0K1BsxL,"YNW Melly, Kanye West","1cNDP5yjU5vjeR8qMf4grg, 5K4W6rqBFWDnAN6FQUkS6x",We All Shine,814908027393,09b9NC1oQbYaHcacgXn66k,2019-01-17,,United States,35,viral,daily,7,2019-03-08,8,1,2019-03-16,"17, 18, 19, 16, 17, 16, 15, 11, 11, 11, 11, 12, 13, 13, 13, 13, 12, 11, 12, 11, 10, 10, 11, 11, 10, 8, 7, 9, 10, 9, 10, 10, 8, 9, 8",https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL,https://open.spotify.com/album/09b9NC1oQbYaHcacgXn66k,https://open.spotify.com/artist/1cNDP5yjU5vjeR8qMf4grg
Worth It,USUM71821752,4XiGKQqbmnMVxDzUj6j3f2,YK Osiris,7meyrw7Or5DwteYxDJrkCM,Worth It,602577381607,6xxdRevqix78TFbWJpO2AO,2019-01-24,Def Jam Recordings,United States,14,viral,daily,6,2019-03-11,9,-1,2019-03-16,"13, 12, 12, 12, 9, 8, 8, 7, 6, 6, 6, 7, 8, 9",https://open.spotify.com/track/4XiGKQqbmnMVxDzUj6j3f2,https://open.spotify.com/album/6xxdRevqix78TFbWJpO2AO,https://open.spotify.com/artist/7meyrw7Or5DwteYxDJrkCM
Pure Water (with Migos),USUM71823137,63cd4JkwGgYJrbOizbfmsp,"Mustard, Migos","0YinUQ50QDB7ZxSCLyQ40k, 6oMuImdp5ZcFhWP0ESe6mG",Pure Water (with Migos),602577377846,1ypNy6o0C2ZbuuPPYkavVl,2019-01-15,"10 Summers, Interscope PS",United States,35,viral,daily,1,2019-02-24,10,0,2019-03-16,"6, 6, 5, 5, 6, 4, 4, 4, 4, 4, 3, 3, 3, 3, 1, 2, 2, 3, 3, 3, 4, 8, 8, 10, 8, 6, 6, 6, 12, 10, 9, 8, 9, 10, 10",https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,https://open.spotify.com/album/1ypNy6o0C2ZbuuPPYkavVl,https://open.spotify.com/artist/0YinUQ50QDB7ZxSCLyQ40k
